app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.8, "timestamp": "2020-11-17 22:03:09.822487"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.5, "timestamp": "2020-11-17 22:03:39.870515"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 4.1, "timestamp": "2020-11-17 22:04:09.941198"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.7, "timestamp": "2020-11-17 22:04:40.012153"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 4.0, "timestamp": "2020-11-17 22:05:10.057572"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.7, "timestamp": "2020-11-17 22:05:40.109569"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 4.1, "timestamp": "2020-11-17 22:06:10.180039"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.8, "timestamp": "2020-11-17 22:06:40.228933"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.9, "timestamp": "2020-11-17 22:07:10.292821"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.6, "timestamp": "2020-11-17 22:07:40.364157"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.8, "timestamp": "2020-11-17 22:08:10.438276"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.7, "timestamp": "2020-11-17 22:08:40.509526"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.9, "timestamp": "2020-11-17 22:09:10.581329"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.9, "timestamp": "2020-11-17 22:09:40.652115"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 4.0, "timestamp": "2020-11-17 22:10:10.723177"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.7, "timestamp": "2020-11-17 22:10:40.794051"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.8, "timestamp": "2020-11-17 22:11:10.864875"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.5, "timestamp": "2020-11-17 22:11:40.936194"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.9, "timestamp": "2020-11-17 22:12:11.007167"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.5, "timestamp": "2020-11-17 22:12:41.057520"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 4.0, "timestamp": "2020-11-17 22:13:11.128164"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.6, "timestamp": "2020-11-17 22:13:41.169734"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 4.0, "timestamp": "2020-11-17 22:14:11.241341"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.9, "timestamp": "2020-11-17 22:14:41.312587"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.9, "timestamp": "2020-11-17 22:15:11.378665"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.7, "timestamp": "2020-11-17 22:15:41.438170"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.8, "timestamp": "2020-11-17 22:16:11.499540"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.2, "timestamp": "2020-11-17 22:16:41.570141"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.9, "timestamp": "2020-11-17 22:17:11.641093"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.7, "timestamp": "2020-11-17 22:17:41.689681"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 4.0, "timestamp": "2020-11-17 22:18:11.732815"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 2.7, "timestamp": "2020-11-17 22:18:41.797846"}'
app_glowna_backend.1.drp11er0qxkr@centos-l2.novalocal    | b'{"usage": 3.7, "timestamp": "2020-11-17 22:19:11.863424"}'
